Sentence,Label	
A more direct evidence is that Hsp70 facilitates viral RNA production in cell-free transcriptional assays.',hsp-viral_interactions	
After ligand binding, TLRs dimerize and undergo a conformational change required for recruiting downstream signaling molecules, including the adaptor molecule myeloid differentiation primary-response protein 88 (MyD88), IL-1R-associated kinases (IRAKs), TGFÎ²-activated kinase (TAK1), TAK1-binding protein 1 (TAB1), TAB2 and TNF-receptor-associated factor 6 (TRAF6).',immunology	
After treated with Hsp90 inhibitors, HSV polymerases is mislocalized from the nucleus to the cytoplasm and subsequently degraded in a proteasome-dependent manner.144,145 Similar to HSV, the nuclear translocation of DNA polymerase of EBV also requires Hsp90.146,147 During the polymerase transportation, the polymerase catalytic subunit BALF5 forms a complex with BMRF1 in the assistance of Hsp90Î².â€™,hsp-viral_interactions	
Although Hsp70 inhibitors suppress RSV polymerase activity	 it only disrupts viral gene expression but do not affect RNA polymerization.',hsp-viral_interactions
Among these strategies, HBV infection increases the population of CD4+CD25+ T regulatory cells (Tregs) which can produce an amount of IL-10 and TGF-Î².',immunology	
Another mechanism that Hsp70 employs to support virus replication is to modulate nuclear import of polymerase or nuclear capsid.',hsp-viral_interactions	
As described before, EBV is the causative regent of several tumors, including Burkittâ€™s lymphoma and Nasopharyngeal carcinoma (NPC).',viral_details	
At the translation level, Hsp90 promotes the translation of conserved herpesvirus protein kinases (CHPKs), including herpes simplex virus type 1 and 2 (HSV-1, HSV-2), varicella-zoster virus (VZV), EBV, KSHV.',hsp-viral_interactions	
believed that the stimulated RT activity is independent of Hsp90 ATPase activity reported that RT-Îµ interaction mediated by Hsp90 and its chaperone partner p23 is ATP-dependent.137,141 Lastly, another study showed that Hsp90 helps HBV RT priming rather than maintaining the HBV RT/Îµ RNA complex.142 This is controversial to Huâ€™s findings, i.e., Hsp90 function is required not only to establish but also to maintain the RT in a state for RNA binding.141 Grp94, another HSP90 family member, is shown a critical regulator in stabilizing and activating RT, allowing its preferential binding to the pregenomic RNA during HBV replication.',hsp-viral_interactions	
Besides, DENV infection also elevates Hsp60 expression.',hsp-viral_interactions	
Besides, Hsc70 interacts with the terminal non-coding regions of the EBOV genome.',hsp-viral_interactions	
Besides, Hsp70 is also reported to regulate L protein, another MuV polymerase component.',hsp-viral_interactions	
Besides, in HeLa cells infected by poliovirus or coxsackievirus B1, Hsp70 is detected to interact with the capsid precursor P1.',hsp-viral_interactions	
Besides, the reactive oxygen species (ROS)-promoted HBV capsid assembly also requires an active form of Hsp90.',hsp-viral_interactions	
Both AP-1 and NF-ÎºB activate proinflammatory cytokine expression, including TNFÎ±, IL-6, IL-1Î², and a number of other cytokines and chemokines.',immunology	
By using immunoprecipitation and mass spectrometry assays, it has been identified that the N protein interacts with Hsp70, NEF, BAG2, and the Hsp70 co-chaperone DNAJA2.',hsp-viral_interactions	
CHPKs play important roles in multiple processes, including gene expression, viral DNA replication, capsid nuclear egress, and DNA damage responses.',viral_details	
demonstrated that RT-Îµ interaction depends on Hsp90â€™s ATP hydrolysis activity.136 Two independent regions in the terminal protein (TP) and the RT domains of polymerase separately bind with Hsp90 at the N-Terminal and C-Terminal fragments, and both domains are essential for ribonucleoprotein (RNP) and protein priming.137,138 Although a model is established to show how Hsp90 bridges the two separate RT domains of polymerase together to enable the formation of an RNP complex with the HBV RNA;137 there are still some fundamental questions to be addressed.â€™,hsp-viral_interactions	
Disruption of the interaction by mutating the binding site potently inhibits the minigenome replication of EBOV.',hsp-viral_interactions	
Downregulating Hsp72 leads to a decreased number of VRC in HCV-infected cells, while overexpression of Hsp72 raises the number of VRC.',hsp-viral_interactions	
During DNA retroviral replication, Hsp90 mainly contributes to regulating and maintaining the reverse-transcriptase (RT) activity.â€™,hsp-viral_interactions	
During influenza A infection, the amount of Hdj1 in p58IPK-Hdj1 complex decreases to an undetectable level.',virology	
During morphogenesis of the double-stranded RNA Reovirus, Hsp70 contributes to the assembly of trimeric sigma 1 protein, which is responsible for the interaction with host cell receptor.',hsp-viral_interactions	
During the viral protein expression and maturation, Hsp90 works as a classic chaperone to monitor the proper folding of viral proteins.â€™,hsp-viral_interactions	
EBNA1 is critical for cellular transformation, tumorigenesis, and the maintenance of viral episomes.',viral_details	
Ectopic expression of RSV nucleocapsid protein (N protein) and phosphoprotein (P protein) are detected to interact with Hsp70 in 293T cells.',hsp-viral_interactions	
Even though virus postpones apoptosis via Hsp60, the main function of Hsp60 is to refold proteins in mitochondria.',hsp-viral_interactions	
Few studies show the function of Hsp60s in the life cycle of RNA virus; however, the function of Hsp60 in regulating host immunity has been widely studied.',hsp-viral_interactions	
First, HSP70 family proteins facilitate the formation of virus replication complexes and/or maintain the stability of complex proteins.',hsp-function	
Firstly, whether the Hsp90 chaperones or Hsp70 chaperones are essential for the RT- Îµ interaction.â€™,hsp-function	
For example, during the Mumps virus (MuV) infection, the expression level of Hsp72 is increased.',hsp-viral_interactions	
For example, Hsp72 participates in the VRC formation of HCV.',hsp-viral_interactions	
Furthermore, Hsp60 also forms a complex with HBx and Hsp70 in the mitochondria.',hsp-viral_interactions	
Furthermore, it is demonstrated that Hsp70 interacts with and regulates NC polymerase activity dependent on the Hsp70 ATP activity; because Hsp70 antibody significantly inhibits NC polymerase activity and supplementation of purified recombinant Hsp70 enhances both the basal and stress-induced NC polymerase activity.',hsp-viral_interactions	
HBV infection increases serum sHsp60 level and makes use of Hsp60 to activate CD4+CD25+ regulatory T via TLR2/MyD88/IL10 signaling.',hsp-viral_interactions	
HBV replication is markedly suppressed when Hsp60 is knocked down by specific siRNAs.',hsp-viral_interactions	
HCV accumulation and virion production are significantly suppressed when cells are treated with Hsp70 or Hsc70 inhibitors.',hsp-viral_interactions	
