Sentence,Label_0,Label_1,Label_2,Label_3,Label_4,Label_6
"Certain viruses, such as Epstein-Barr virus (EBV) and human papillomavirus (HPV), utilize G-quadruplex structures for viral gene expression and replication.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in the viral genome play a role in viral replication, and targeting these structures can be a potential strategy for antiviral drug development.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral genomes are involved in the regulation of viral replication and gene expression, presenting opportunities for the development of antiviral strategies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral genomes can affect viral replication and may serve as potential targets for antiviral therapies.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral genomes can impact viral gene expression, replication, and pathogenesis, offering potential targets for therapeutic interventions.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral genomes can modulate viral gene expression and contribute to viral pathogenesis.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral genomes can modulate viral gene expression and replication, making them attractive targets for the development of antiviral therapeutics.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral genomes can modulate viral gene expression and translation, contributing to the regulation of viral replication.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral genomes can modulate viral replication and gene expression, offering potential targets for antiviral therapies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral genomes can serve as key regulators of viral replication and pathogenesis, making them attractive targets for therapeutic intervention.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral genomes have the potential to regulate viral replication and impact the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral genomes have the potential to regulate viral replication and impact the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral genomes have the potential to regulate viral replication and impact the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral genomes play a regulatory role in viral replication and gene expression, with implications for the development of antiviral strategies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral genomes play a regulatory role in viral replication and translation, with implications for the development of antiviral strategies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral genomes play a regulatory role in viral replication and translation, with implications for the development of antiviral strategies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral genomes play a regulatory role in viral replication and translation, with implications for the development of antiviral strategies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral genomes play important roles in viral replication, gene expression, and the modulation of host-virus interactions.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral RNA can act as regulatory elements and influence various stages of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral RNA can affect viral replication and may represent targets for the development of antiviral therapies.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral RNA can function as regulatory elements that influence viral replication and translation.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral RNA can function as regulatory elements that influence viral replication and translation.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral RNA can function as regulatory elements that influence viral replication and translation.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral RNA can modulate viral gene expression and replication, making them attractive targets for antiviral intervention.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral RNA can serve as regulatory elements that modulate various aspects of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral RNA genomes are involved in the control of viral replication and gene expression, offering potential targets for therapeutic intervention.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral RNA genomes are involved in the control of viral replication and the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral RNA genomes are involved in the control of viral replication and the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral RNA genomes are involved in the control of viral replication and the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral RNA genomes are involved in the control of viral replication and the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral RNA genomes can act as molecular switches that regulate viral replication and control the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral RNA genomes can act as molecular switches that regulate viral replication and control the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
G-quadruplex structures in viral RNA genomes can act as molecular switches that regulate viral replication and control the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral RNA genomes can modulate viral gene expression and replication, making them attractive targets for antiviral intervention.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral RNA genomes play a regulatory role in the control of various aspects of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral RNA genomes play a regulatory role in the control of various aspects of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral RNA genomes play a regulatory role in the control of various aspects of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral RNA genomes play a regulatory role in the control of various aspects of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type,
"G-quadruplex structures in viral RNA genomes have emerged as important regulatory elements that impact viral replication and pathogenesis.",Not specified,Viral infection,Not specified,Not specified,Not specified
G-quadruplex structures in viral RNA play a role in viral replication and have implications for the development of antiviral strategies.,Not specified,Viral infection,Not specified,Not specified,Not specified
"G-quadruplexes are implicated in the life cycles of various viruses, including human immunodeficiency virus (HIV) and hepatitis C virus (HCV).",Not specified,Viral infection,"HIV, HCV",Not specified,Not specified
"G-quadruplexes in viral genomes are structurally diverse and functionally important, with potential implications for viral replication and pathogenesis.",Not specified,Viral infection,Not specified,Not specified,Not specified
G-quadruplexes in viral RNA can serve as potential targets for the development of antiviral therapies against a wide range of viruses.,Not specified,Viral infection,Not specified,Not specified,Not specified
"G3BP1 depletion reduces viral replication, titer, and viral protein levels, while overexpression of G3BP1 enhances viral titers.",No,Viral infection,Not specified,G3BP1,Not specified
G3BP1 enhances the immune response against invading viruses by inducing the expression of IFN and translation of ISGs.,No,Viral infection,Not specified,G3BP1,Not specified
G3BP1 facilitates replication of some viruses whereas it restricts viral spread in other viruses.,No,Viral infection,Not specified,G3BP1,Not specified
G3BP1 facilitates the initial IFN-ß response by binding and augmenting the function of viral RNA and DNA sensing proteins in the cytoplasm.,No,Viral infection,Not specified,G3BP1,Not specified
G3BP1 Forms the Core of Stress Granules.,Yes,Not specified,Not specified,G3BP1,Not specified
"G3BP1 function is further modulated by post-translational modifications and also implicated in many diseases such as cancer, neurodegeneration, and viral infection—the latter is the focus of this review",No,"Cancer, Neurodegeneration, Viral infection",Not specified,G3BP1,Not specified
"G3BP1 Is Differentially Utilized within the Flaviviridae Family Although G3BP1 influences viral propagation of Flaviviridae family, different members.",No,Viral infection,Flaviviridae,G3BP1,Not specified
"G3BP1 is highly conserved from yeast to humans and plays a key role in RNA metabolism, such as regulating the stability and translation of a subset of mRNAs, binding to specific transcripts during stress conditions, and activating interferon (IFN)-stimulated gene expression",No,Not specified,Not specified,G3BP1,Not specified
G3BP1 is required for activation of cGAS as depletion of G3BP1 dramatically reduces DNA-induced IFN production,34,No,Not specified,Not specified,G3BP1,Not specified
"G3BP1 Is Sequestered within Ebola Virus Inclusions EBOV, a single-stranded negative-sense RNA virus, does not induce SG assembly but sequesters SG components G3BP1, eEF2, eIF2, and eIF3 through the viral protein VP5","Yes",Viral infection,Ebola virus,G3BP1,Not specified
"G3BP1 is the central node of the protein–protein interaction network within SGs, where RNA serves as a molecular trigger for phase separation.",Yes,Not specified,Not specified,G3BP1,Not specified
G3BP1 methylation recruits TDRD3 into SGs to regulate the innate immune response,60,Yes,Not specified,Not specified,G3BP1,Not specified
G3BP1 negatively regulates Picornaviridae infection by binding the 30 untranslated regions (30UTRs) or Internal Ribosome Entry Site (IRES) regions of viral RNAs to inhibit viral replication,"Yes",Viral infection,Picornaviridae,G3BP1,Not specified
G3BP1 regulates early innate responses through its ability to bind nucleic acids and proteins in these signaling pathways.,Yes,Not specified,Not specified,G3BP1,Not specified
"G4s are highly polymorphic structures whose topology can be influenced by variations in strand stoichiometry and polarity, as well as by the nature and length of loops and their location in the sequence.",Yes,Not specified,Not specified,Not specified,G-quadruplex
"G4s can fold intramolecularly from a single G-rich strand, or intermolecularly through dimerization or tetramerization of separate filaments: research of biologically relevant G4s has mainly focused on monomolecular G4s (3,4); however, intermolecular G4s are gaining increasing attention (5-7).",Yes,Not specified,Not specified,Not specified,G-quadruplex
"G4s have been extensively described in the human genome, especially in telomeres and oncogene promoters; in recent years the presence of G4s in viruses has attracted increasing interest.",Yes,Not specified,Not specified,Not specified,G-quadruplex
"Generally, a simple pattern match is used for searching for possible intrastrand quadruplex forming sequences: d(G+N_G+N_G+N_G+), where N is any nucleotide base (including guanine).",Not specified,Not specified,Not specified,Not specified,Not specified
"Given that G3BP1 impacts the life cycle of many viruses, it is important to distinguish what specific functional roles are played by G3BP1 at different infection stages.",No,Viral infection,Not specified,G3BP1,Not specified
"Given that G3BP1 is also modified by phosphorylation and ubiquitylation, it is worth checking the status of G3BP1 for other post-translational modifications at different infection stages and determine how these modifications affect a viral life cycle","No",Viral infection,Not specified,G3BP1,Not specified
"Given that some of the key anti-viral proteins (such as ADAR1, PARP13/ZAP, OAS, IRF3, IRF7, TBK1, and RNase L) localize to SGs and activate the anti-viral response, SGs may negatively affect viral replication",Not specified,Not specified,Not specified,Not specified,Not specified
"Given that the interacting partners of G3BP1 are modulated during infection to form new complexes in a virus-specific manner, different terms have been used to differentiate for these viral-induced protein complexes, including atypical SGs (EV), antiviral SGs (IBV), or nsP3 foci (alphaviruses).",Not specified,Not specified,Not specified,G3BP1,Not specified
"Greater disorder was indicated in 43 of these folds, which were either listed in DisProt or had predictions for more than 30 contiguous disordered residues, or both.",Not specified,Not specified,Not specified,Not specified,Not specified
"Guanine (G) bases in G-quadruplex have the lowest redox potential causing it to be more susceptible to the formation of -oxoguanine (-oxoG), an endogenous oxidized DNA base damage in the genome.",Not specified,Not specified,Not specified,Not specified,G-quadruplex
Heat shock proteins can also participate in marking malformed proteins for degradation via ubiquitin tags.,Yes,Not specified,Not specified,Heat shock proteins,Not specified
"HeLa cells were either mock treated or infected with NDV at an MOI of 1 for 6, 12, and 18 hours.",Not specified,Viral infection,NDV,Not specified,Not specified
HeLa Cells were transfected with 2 siRNAs specific to G3BP1 and then infected with NDV.,Not specified,Viral infection,NDV,G3BP1,Not specified
Hence the rapid degradation of ARE mRNAs noted in ICP27 mutant-infected cells at late times is similar to that taking place in mock-infected or in VHS RNase mutant-virus-infected cells and does not by itself support the hypothesis that ICP27 stabilizes ARE mRNAs.,Not specified,Viral infection,"ICP27 mutant, VHS RNase mutant",Not specified,Not specified
"Hence, the rapid degradation of ARE mRNAs noted in ICP27 mutant-infected cells at late times is similar to that taking place in mock-infected or in VHS RNase mutant-virus-infected cells.",Not specified,Viral infection,"ICP27 mutant, VHS RNase mutant",Not specified,Not specified
"Hence, the rapid degradation of ARE mRNAs noted in ICP27 mutant-infected cells at late times is similar to that taking place in mock-infected or in VHS RNase mutant-virus-infected cells.",Not specified,Viral infection,"ICP27 mutant, VHS RNase mutant",Not specified,Not specified
Here we summarize the strategies shared by viruses in the Picornaviridae and Coronaviridae families to counteract host defense.,Not specified,Viral infection,"Picornaviridae, Coronaviridae",Not specified,Not specified
