Sentence,Label_0,Label_1,Label_2,Label_3,Label_4
"Certain viruses, such as Epstein-Barr virus (EBV) and human papillomavirus (HPV), utilize G-quadruplex structures for viral gene expression and replication.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in the viral genome play a role in viral replication, and targeting these structures can be a potential strategy for antiviral drug development.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes are involved in the regulation of viral replication and gene expression, presenting opportunities for the development of antiviral strategies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral genomes can affect viral replication and may serve as potential targets for antiviral therapies.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes can impact viral gene expression, replication, and pathogenesis, offering potential targets for therapeutic interventions.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral genomes can modulate viral gene expression and contribute to viral pathogenesis.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes can modulate viral gene expression and replication, making them attractive targets for the development of antiviral therapeutics.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes can modulate viral gene expression and translation, contributing to the regulation of viral replication.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes can modulate viral replication and gene expression, offering potential targets for antiviral therapies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes can serve as key regulators of viral replication and pathogenesis, making them attractive targets for therapeutic intervention.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral genomes have the potential to regulate viral replication and impact the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral genomes have the potential to regulate viral replication and impact the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral genomes have the potential to regulate viral replication and impact the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes play a regulatory role in viral replication and gene expression, with implications for the development of antiviral strategies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes play a regulatory role in viral replication and translation, with implications for the development of antiviral strategies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes play a regulatory role in viral replication and translation, with implications for the development of antiviral strategies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes play a regulatory role in viral replication and translation, with implications for the development of antiviral strategies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes play important roles in viral replication, gene expression, and the modulation of host-virus interactions.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA can act as regulatory elements and influence various stages of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA can affect viral replication and may represent targets for the development of antiviral therapies.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA can function as regulatory elements that influence viral replication and translation.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA can function as regulatory elements that influence viral replication and translation.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA can function as regulatory elements that influence viral replication and translation.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA can modulate viral gene expression and replication, making them attractive targets for antiviral intervention.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA can serve as regulatory elements that modulate various aspects of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA genomes are involved in the control of viral replication and gene expression, offering potential targets for therapeutic intervention.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes are involved in the control of viral replication and the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes are involved in the control of viral replication and the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes are involved in the control of viral replication and the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes are involved in the control of viral replication and the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes can act as molecular switches that regulate viral replication and control the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes can act as molecular switches that regulate viral replication and control the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes can act as molecular switches that regulate viral replication and control the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA genomes can modulate viral gene expression and replication, making them attractive targets for antiviral intervention.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA genomes play a regulatory role in the control of various aspects of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA genomes play a regulatory role in the control of various aspects of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA genomes play a regulatory role in the control of various aspects of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA genomes play a regulatory role in the control of various aspects of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes have emerged as important regulatory elements that impact viral replication and pathogenesis.,Not specified,Viral infection,Not specified,Not specified,Not specified
Here we summarize the strategies shared by viruses in the Picornaviridae and Coronaviridae families to counteract host defense.,Not specified,Viral infection,"Picornaviridae, Coronaviridae",Not specified,Not specified
"Here, we describe the role of G3BP1 during specific viral infections and the ways by which G3BP1 is targeted.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"Here, we explore the mechanisms by which different viruses regulate G3BP1 function during infection.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"Here, we focus on the role of G3BP1 during viral infection and the various strategies utilized by viruses to exploit or counteract G3BP1 functions.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"Here, we report that this event is to suppress cellular inflammation and is mediated by the viral replicase protein nsp1β.",Not specified,Inflammation,Not specified,Viral replicase protein nsp1β,Not specified
"Here, we show that the primary purpose of this selective targeting of PKR signaling is to suppress the cellular inflammatory responses.",Not specified,Inflammation,Not specified,PKR,Not specified
